cmd;adc_a;adc_b;created_at
1;16507591;8609061;2021-07-30 12:14:32.442426
1;16507624;8609073;2021-07-30 12:14:34.445063
1;16507746;8609127;2021-07-30 12:14:35.446891
1;16507733;8609149;2021-07-30 12:14:36.449797
1;16507713;8609213;2021-07-30 12:14:37.451353
1;16507998;8609157;2021-07-30 12:14:38.453917
1;16508110;8609126;2021-07-30 12:14:39.455484
1;16508209;8609149;2021-07-30 12:14:40.457680
1;16508251;8609167;2021-07-30 12:14:41.459267
1;16508131;8609146;2021-07-30 12:14:42.460795
1;16508240;8609304;2021-07-30 12:14:43.462716
1;16507688;8609246;2021-07-30 12:14:44.465014
1;16508078;8609244;2021-07-30 12:14:45.467112
1;16508039;8609221;2021-07-30 12:14:46.469098
1;16507919;8609215;2021-07-30 12:14:47.471285
1;16508128;8609228;2021-07-30 12:14:48.473422
1;16507930;8609264;2021-07-30 12:14:49.475253
1;16507968;8609269;2021-07-30 12:14:50.477003
1;16507886;8609295;2021-07-30 12:14:51.478234
1;16507967;8609273;2021-07-30 12:14:52.479783
1;16507960;8609160;2021-07-30 12:14:53.481938
1;16507896;8609298;2021-07-30 12:14:54.482585
1;16507892;8609175;2021-07-30 12:14:55.483874
1;16507476;8609221;2021-07-30 12:14:56.485201
1;16507725;8609214;2021-07-30 12:14:57.486541
1;16507467;8609180;2021-07-30 12:14:58.489492
1;16508046;8609292;2021-07-30 12:14:59.492882
1;16508048;8609154;2021-07-30 12:15:00.496923
1;16507955;8609301;2021-07-30 12:15:02.501435
1;16507984;8609162;2021-07-30 12:15:03.503360
1;16507971;8609328;2021-07-30 12:15:04.506564
1;16507921;8609144;2021-07-30 12:15:05.510301
1;16507927;8609203;2021-07-30 12:15:06.512329
1;16507934;8609211;2021-07-30 12:15:07.514182
1;16507897;8609164;2021-07-30 12:15:08.515467
1;16507895;8609089;2021-07-30 12:15:09.517292
1;16507812;8609231;2021-07-30 12:15:10.519205
1;16507464;8609222;2021-07-30 12:15:11.521045
1;16507903;8609308;2021-07-30 12:15:12.522882
1;16507915;8609265;2021-07-30 12:15:13.524658
1;16507799;8609286;2021-07-30 12:15:14.525962
1;16507917;8609178;2021-07-30 12:15:15.527274
1;16507326;8609260;2021-07-30 12:15:16.528932
1;16507431;8609219;2021-07-30 12:15:17.530620
1;16507546;8609038;2021-07-30 12:15:18.532201
1;16507532;8609126;2021-07-30 12:15:19.533832
1;16507376;8609050;2021-07-30 12:15:20.534389
1;16507430;8609080;2021-07-30 12:15:21.537406
1;16507534;8609065;2021-07-30 12:15:22.538487
1;16508037;8609089;2021-07-30 12:15:23.540524
1;16507455;8609161;2021-07-30 12:15:24.543332
1;16507508;8609111;2021-07-30 12:15:25.546064
1;16507360;8609208;2021-07-30 12:15:26.548032
1;16507599;8608949;2021-07-30 12:15:27.550055
1;16507444;8609054;2021-07-30 12:15:30.555037
1;16507490;8609189;2021-07-30 12:15:31.557336
1;16507503;8609043;2021-07-30 12:15:32.559352
1;16507469;8609102;2021-07-30 12:15:33.562201
1;16507407;8609087;2021-07-30 12:15:34.567641
1;16507956;8609052;2021-07-30 12:15:35.571005
1;16508038;8609119;2021-07-30 12:15:36.574532
1;16508017;8609239;2021-07-30 12:15:37.578996
1;16508020;8609179;2021-07-30 12:15:38.581322
1;16508106;8609161;2021-07-30 12:15:39.584648
1;16507456;8609124;2021-07-30 12:15:40.587937
2;16507792;8609131;2021-07-30 12:15:41.591077
2;16507603;8609047;2021-07-30 12:15:42.594544
1;16507530;8609229;2021-07-30 12:15:43.596839
1;16507481;8609214;2021-07-30 12:15:44.599422
1;16507600;8609205;2021-07-30 12:15:45.601435
1;16508123;8609185;2021-07-30 12:15:46.605195
1;16507640;8609192;2021-07-30 12:15:47.608801
1;16507559;8609228;2021-07-30 12:15:48.611818
1;16507567;8609153;2021-07-30 12:15:49.615339
1;16507403;8609214;2021-07-30 12:15:50.618326
1;16507436;8609222;2021-07-30 12:15:51.621846
1;16508064;8609271;2021-07-30 12:15:52.624870
2;16508123;8608904;2021-07-30 12:15:53.625561
2;16507578;8608940;2021-07-30 12:15:54.626411
2;16507573;8609299;2021-07-30 12:15:55.628370
1;16507998;8609222;2021-07-30 12:15:56.631425
1;16507985;8609162;2021-07-30 12:15:57.634840
1;16508058;8609172;2021-07-30 12:15:58.637997
1;16507981;8609260;2021-07-30 12:15:59.642372
1;16508007;8609219;2021-07-30 12:16:00.643931
1;16508085;8609241;2021-07-30 12:16:01.645795
1;16508034;8609097;2021-07-30 12:16:02.649493
1;16507998;8609213;2021-07-30 12:16:03.653816
1;16507898;8609183;2021-07-30 12:16:04.655010
1;16508105;8609099;2021-07-30 12:16:05.656629
1;16507973;8609221;2021-07-30 12:16:06.659836
1;16507962;8609233;2021-07-30 12:16:07.660764
1;16508035;8609105;2021-07-30 12:16:08.662259
1;16507507;8609207;2021-07-30 12:16:09.664343
1;16507514;8609195;2021-07-30 12:16:10.666326
1;16507524;8609086;2021-07-30 12:16:11.668477
1;16507613;8609028;2021-07-30 12:16:12.671855
1;16508140;8609291;2021-07-30 12:16:14.676754
1;16507977;8609136;2021-07-30 12:16:15.678963
1;16508059;8609186;2021-07-30 12:16:16.681121
1;16508036;8609182;2021-07-30 12:16:17.683196
1;16507912;8609192;2021-07-30 12:16:18.684664
1;16507904;8609206;2021-07-30 12:16:19.686641
1;16507401;8609204;2021-07-30 12:16:20.688624
1;16507464;8609316;2021-07-30 12:16:21.691713
1;16507971;8609302;2021-07-30 12:16:22.693484
1;16507945;8609341;2021-07-30 12:16:23.695961
1;16507577;8609202;2021-07-30 12:16:24.700006
1;16507445;8609279;2021-07-30 12:16:25.701298
1;16507462;8609277;2021-07-30 12:16:26.705004
1;16507422;8609253;2021-07-30 12:16:27.709143
1;16507458;8609279;2021-07-30 12:16:28.712680
1;16507946;8609293;2021-07-30 12:16:29.715649
1;16508038;8609196;2021-07-30 12:16:30.720020
1;16507907;8609299;2021-07-30 12:16:31.723742
1;16507966;8609245;2021-07-30 12:16:32.725667
1;16508005;8609176;2021-07-30 12:16:33.727797
1;16507914;8609190;2021-07-30 12:16:34.731316
1;16508013;8609234;2021-07-30 12:16:35.735378
1;16507794;8609280;2021-07-30 12:16:36.739334
1;16507921;8609203;2021-07-30 12:16:37.742448
1;16507940;8609190;2021-07-30 12:16:38.746421
1;16507931;8609278;2021-07-30 12:16:39.748324
1;16507930;8609229;2021-07-30 12:16:40.752434
1;16507878;8609176;2021-07-30 12:16:41.753238
1;16507854;8609162;2021-07-30 12:16:43.758327
1;16507852;8609263;2021-07-30 12:16:44.760542
1;16507815;8609293;2021-07-30 12:16:45.762683
1;16507769;8609215;2021-07-30 12:16:46.764771
1;16507876;8609188;2021-07-30 12:16:47.766830
1;16507833;8609226;2021-07-30 12:16:48.769148
1;16507364;8609038;2021-07-30 12:16:49.771550
1;16507790;8609185;2021-07-30 12:16:50.773627
1;16507562;8609208;2021-07-30 12:16:51.775676
1;16507470;8609181;2021-07-30 12:16:52.777690
1;16507646;8609106;2021-07-30 12:16:53.779356
1;16507486;8609076;2021-07-30 12:16:54.781277
1;16507414;8609105;2021-07-30 12:16:55.782446
1;16507621;8609090;2021-07-30 12:16:56.783642
1;16507514;8609136;2021-07-30 12:16:57.785389
1;16507500;8609001;2021-07-30 12:16:58.787190
1;16507602;8608978;2021-07-30 12:16:59.788972
1;16507455;8609208;2021-07-30 12:17:00.790717
1;16507492;8609026;2021-07-30 12:17:01.792316
1;16507556;8608978;2021-07-30 12:17:02.793927
1;16507481;8608968;2021-07-30 12:17:03.794683
1;16507371;8609012;2021-07-30 12:17:04.796140
1;16507540;8609089;2021-07-30 12:17:05.797634
1;16507666;8609050;2021-07-30 12:17:06.799195
1;16507552;8608960;2021-07-30 12:17:07.800630
1;16507478;8609103;2021-07-30 12:17:08.802039
1;16507576;8609006;2021-07-30 12:17:10.805157
1;16507779;8609069;2021-07-30 12:17:11.807316
1;16507363;8609020;2021-07-30 12:17:12.809590
1;16507465;8609151;2021-07-30 12:17:13.811383
1;16507412;8609094;2021-07-30 12:17:14.813586
1;16507456;8609168;2021-07-30 12:17:15.815332
1;16507406;8609040;2021-07-30 12:17:16.816966
1;16507409;8609164;2021-07-30 12:17:17.819030
1;16507375;8609182;2021-07-30 12:17:18.821118
1;16507645;8609157;2021-07-30 12:17:19.823169
1;16507526;8609240;2021-07-30 12:17:20.825168
1;16507575;8609140;2021-07-30 12:17:21.827237
1;16507487;8609106;2021-07-30 12:17:22.829188
1;16507520;8609155;2021-07-30 12:17:23.831073
1;16507702;8609093;2021-07-30 12:17:24.832902
1;16507518;8609105;2021-07-30 12:17:25.834743
1;16507456;8609145;2021-07-30 12:17:26.835836
1;16507374;8609140;2021-07-30 12:17:27.836823
1;16507545;8609183;2021-07-30 12:17:28.838467
1;16507816;8609180;2021-07-30 12:17:29.840143
1;16507815;8609201;2021-07-30 12:17:30.841730
1;16507801;8609087;2021-07-30 12:17:31.843293
1;16507690;8609033;2021-07-30 12:17:32.844796
1;16507735;8609120;2021-07-30 12:17:33.846000
1;16507587;8609097;2021-07-30 12:17:34.846940
1;16507766;8609111;2021-07-30 12:17:35.847776
1;16507712;8609136;2021-07-30 12:17:36.848250
1;16507780;8609107;2021-07-30 12:17:38.851345
1;16507506;8609180;2021-07-30 12:17:39.853583
1;16507839;8609097;2021-07-30 12:17:40.855867
1;16507609;8609187;2021-07-30 12:17:41.858197
1;16507593;8609250;2021-07-30 12:17:42.860281
1;16507504;8609332;2021-07-30 12:17:43.862918
1;16507515;8609092;2021-07-30 12:17:44.865230
1;16507343;8609114;2021-07-30 12:17:45.867345
1;16507741;8609175;2021-07-30 12:17:46.869315
1;16507378;8609191;2021-07-30 12:17:47.871309
1;16507464;8609169;2021-07-30 12:17:48.873290
1;16507427;8609078;2021-07-30 12:17:49.875243
1;16507342;8609021;2021-07-30 12:17:50.876329
1;16507259;8609088;2021-07-30 12:17:51.878082
1;16507212;8609036;2021-07-30 12:17:52.879949
1;16507372;8609055;2021-07-30 12:17:53.881939
1;16507370;8609106;2021-07-30 12:17:54.883781
1;16507674;8609034;2021-07-30 12:17:55.885546
1;16507674;8609060;2021-07-30 12:17:56.887252
1;16507431;8608862;2021-07-30 12:17:57.888117
1;16507617;8609039;2021-07-30 12:17:58.892987
1;16507537;8609060;2021-07-30 12:17:59.895709
1;16507620;8609105;2021-07-30 12:18:00.897254
1;16507651;8609065;2021-07-30 12:18:01.900813
1;16507481;8609040;2021-07-30 12:18:02.904034
1;16507657;8609160;2021-07-30 12:18:03.905335
1;16507766;8609075;2021-07-30 12:18:04.907203
1;16507495;8609112;2021-07-30 12:18:06.912822
1;16507456;8609048;2021-07-30 12:18:07.915531
1;16507657;8609137;2021-07-30 12:18:08.917734
1;16507500;8609233;2021-07-30 12:18:09.919217
1;16507460;8609176;2021-07-30 12:18:10.921287
1;16507407;8609186;2021-07-30 12:18:11.923240
1;16507501;8609176;2021-07-30 12:18:12.924573
1;16507520;8609204;2021-07-30 12:18:13.926465
1;16507343;8609005;2021-07-30 12:18:14.928350
1;16507720;8609036;2021-07-30 12:18:15.930504
1;16507612;8609051;2021-07-30 12:18:16.932803
1;16507656;8609169;2021-07-30 12:18:17.933950
1;16507386;8609194;2021-07-30 12:18:18.937418
1;16507304;8609132;2021-07-30 12:18:19.940992
1;16507475;8609157;2021-07-30 12:18:20.944689
1;16507621;8609043;2021-07-30 12:18:21.949203
1;16507574;8609110;2021-07-30 12:18:22.952595
1;16507393;8609079;2021-07-30 12:18:23.955899
1;16507425;8609046;2021-07-30 12:18:24.959949
1;16507591;8609068;2021-07-30 12:18:25.964023
1;16507439;8609028;2021-07-30 12:18:26.968056
1;16507593;8608968;2021-07-30 12:18:27.972179
1;16507411;8609067;2021-07-30 12:18:28.976094
1;16507460;8608915;2021-07-30 12:18:29.979764
1;16507380;8609087;2021-07-30 12:18:30.983018
1;16507499;8609023;2021-07-30 12:18:31.983770
1;16507705;8608949;2021-07-30 12:18:32.986777
1;16507755;8608922;2021-07-30 12:18:34.992555
1;16507485;8608970;2021-07-30 12:18:35.995426
1;16507459;8608939;2021-07-30 12:18:36.998225
1;16507626;8608962;2021-07-30 12:18:38.001136
1;16507698;8609005;2021-07-30 12:18:39.004120
1;16507478;8608948;2021-07-30 12:18:40.008081
1;16507526;8609092;2021-07-30 12:18:41.012388
1;16507469;8609067;2021-07-30 12:18:42.016282
1;16507688;8609077;2021-07-30 12:18:43.020319
1;16507441;8609107;2021-07-30 12:18:44.024469
1;16507444;8609031;2021-07-30 12:18:45.028761
1;16507827;8609138;2021-07-30 12:18:46.033434
1;16507599;8609205;2021-07-30 12:18:47.036349
1;16507604;8609164;2021-07-30 12:18:48.040555
1;16507707;8609114;2021-07-30 12:18:49.044435
1;16507515;8609105;2021-07-30 12:18:50.048530
1;16507507;8609060;2021-07-30 12:18:51.052264
1;16507378;8609088;2021-07-30 12:18:52.056400
1;16507735;8609072;2021-07-30 12:18:53.060811
1;16507623;8609036;2021-07-30 12:18:54.064706
1;16507469;8609034;2021-07-30 12:18:55.068845
1;16507832;8609090;2021-07-30 12:18:56.070263
1;16507860;8609144;2021-07-30 12:18:57.073713
1;16507801;8609200;2021-07-30 12:18:58.077093
1;16507634;8609155;2021-07-30 12:18:59.079346
1;16507830;8609106;2021-07-30 12:19:00.080855
1;16507560;8609187;2021-07-30 12:19:01.082585
1;16507824;8609152;2021-07-30 12:19:02.084001
1;16507512;8609166;2021-07-30 12:19:04.089392
1;16507449;8609199;2021-07-30 12:19:05.091223
1;16507524;8609199;2021-07-30 12:19:06.093443
1;16507771;8609152;2021-07-30 12:19:07.095535
1;16507565;8609147;2021-07-30 12:19:08.098288
1;16507445;8609077;2021-07-30 12:19:09.099617
1;16506976;8609175;2021-07-30 12:19:10.100889
1;16507509;8609226;2021-07-30 12:19:11.102766
1;16507091;8609109;2021-07-30 12:19:12.104663
1;16507441;8609183;2021-07-30 12:19:13.106600
1;16507133;8609223;2021-07-30 12:19:14.108680
1;16507613;8609185;2021-07-30 12:19:15.111453
1;16507516;8609076;2021-07-30 12:19:16.115512
1;16507353;8609175;2021-07-30 12:19:17.119118
1;16507378;8609140;2021-07-30 12:19:18.122801
1;16507608;8609188;2021-07-30 12:19:19.124407
1;16507431;8609256;2021-07-30 12:19:20.127006
1;16507335;8609139;2021-07-30 12:19:21.129179
1;16507340;8609154;2021-07-30 12:19:22.129958
1;16507572;8609163;2021-07-30 12:19:23.131567
1;16507436;8609201;2021-07-30 12:19:24.132327
1;16507530;8609170;2021-07-30 12:19:25.133218
1;16507096;8609140;2021-07-30 12:19:26.135844
1;16507570;8609099;2021-07-30 12:19:27.139099
1;16507392;8609203;2021-07-30 12:19:28.141055
1;16507340;8609181;2021-07-30 12:19:29.143360
1;16507374;8609140;2021-07-30 12:19:30.145592
1;16507320;8609164;2021-07-30 12:19:32.151580
1;16507439;8609142;2021-07-30 12:19:33.154837
1;16507367;8609209;2021-07-30 12:19:34.157048
1;16507479;8609164;2021-07-30 12:19:35.161016
1;16507386;8609089;2021-07-30 12:19:36.164586
1;16507512;8609109;2021-07-30 12:19:37.168445
1;16507449;8609106;2021-07-30 12:19:38.172506
1;16507397;8609027;2021-07-30 12:19:39.175911
1;16507409;8609081;2021-07-30 12:19:40.178799
1;16507425;8609122;2021-07-30 12:19:41.180665
1;16507502;8609049;2021-07-30 12:19:42.183015
1;16507257;8609134;2021-07-30 12:19:43.186273
1;16507463;8609050;2021-07-30 12:19:44.187776
1;16507359;8609107;2021-07-30 12:19:45.188769
1;16507525;8609065;2021-07-30 12:19:46.190900
1;16507840;8609176;2021-07-30 12:19:47.191909
1;16507808;8609159;2021-07-30 12:19:48.192834
1;16507771;8609170;2021-07-30 12:19:49.193633
1;16507683;8609066;2021-07-30 12:19:50.194447
1;16507835;8609223;2021-07-30 12:19:51.197327
1;16507724;8609150;2021-07-30 12:19:52.198817
1;16507707;8609138;2021-07-30 12:19:53.199532
1;16507774;8609091;2021-07-30 12:19:54.202967
1;16507661;8609087;2021-07-30 12:19:55.203928
1;16507764;8609121;2021-07-30 12:19:56.204495
1;16507777;8609041;2021-07-30 12:19:57.205006
1;16507829;8608906;2021-07-30 12:19:58.207732
1;16507783;8609066;2021-07-30 12:20:00.210574
1;16507845;8609066;2021-07-30 12:20:01.212700
1;16507752;8609060;2021-07-30 12:20:02.214103
1;16507741;8609102;2021-07-30 12:20:03.215493
1;16507781;8609026;2021-07-30 12:20:04.217472
1;16507945;8609196;2021-07-30 12:20:05.219231
1;16507760;8609175;2021-07-30 12:20:06.220952
1;16507850;8609047;2021-07-30 12:20:07.222820
1;16507827;8609046;2021-07-30 12:20:08.224080
1;16507751;8609105;2021-07-30 12:20:09.226044
1;16507714;8609046;2021-07-30 12:20:10.228784
1;16507805;8609076;2021-07-30 12:20:11.230078
1;16507867;8609155;2021-07-30 12:20:12.234039
1;16507695;8609154;2021-07-30 12:20:13.235917
1;16507873;8609085;2021-07-30 12:20:14.236785
1;16507910;8609247;2021-07-30 12:20:15.240384
1;16507969;8609166;2021-07-30 12:20:16.244260
1;16507867;8609038;2021-07-30 12:20:17.248088
1;16507842;8609117;2021-07-30 12:20:18.252011
1;16507813;8609153;2021-07-30 12:20:19.253890
1;16507779;8609086;2021-07-30 12:20:20.255309
1;16507941;8609156;2021-07-30 12:20:21.256865
1;16507975;8609100;2021-07-30 12:20:22.258430
1;16507901;8609145;2021-07-30 12:20:23.259959
1;16507809;8609127;2021-07-30 12:20:24.263237
1;16507853;8609223;2021-07-30 12:20:25.265539
1;16507825;8609213;2021-07-30 12:20:26.266167
1;16507793;8609222;2021-07-30 12:20:28.272092
1;16507874;8609108;2021-07-30 12:20:29.275039
1;16507835;8609080;2021-07-30 12:20:30.277401
1;16508019;8609081;2021-07-30 12:20:31.279251
1;16507951;8609069;2021-07-30 12:20:32.280723
1;16507987;8609069;2021-07-30 12:20:33.282020
1;16507974;8609069;2021-07-30 12:20:34.283163
1;16507869;8609169;2021-07-30 12:20:35.284424
1;16507922;8609008;2021-07-30 12:20:36.285587
1;16507913;8609100;2021-07-30 12:20:37.286479
1;16507910;8609276;2021-07-30 12:20:38.288100
1;16507950;8609161;2021-07-30 12:20:39.290265
1;16507941;8609087;2021-07-30 12:20:40.293363
1;16507947;8609141;2021-07-30 12:20:41.294560
1;16507947;8609126;2021-07-30 12:20:42.296107
1;16508009;8609174;2021-07-30 12:20:43.298062
1;16508000;8609183;2021-07-30 12:20:44.300249
1;16507885;8609139;2021-07-30 12:20:45.301036
1;16507986;8609037;2021-07-30 12:20:46.301983
1;16508028;8609125;2021-07-30 12:20:47.304018
1;16507825;8609136;2021-07-30 12:20:48.306065
1;16507841;8609171;2021-07-30 12:20:49.307686
1;16507903;8609193;2021-07-30 12:20:50.310123
1;16507982;8609146;2021-07-30 12:20:51.312728
1;16507922;8609218;2021-07-30 12:20:52.314387
1;16507846;8609209;2021-07-30 12:20:53.316063
1;16507858;8609220;2021-07-30 12:20:54.317986
1;16508016;8609150;2021-07-30 12:20:56.320983
1;16507830;8609093;2021-07-30 12:20:57.323055
1;16507972;8609076;2021-07-30 12:20:58.325683
1;16507866;8609119;2021-07-30 12:20:59.327706
1;16507937;8609115;2021-07-30 12:21:00.329403
1;16507974;8609289;2021-07-30 12:21:01.332914
1;16507901;8609151;2021-07-30 12:21:02.336831
1;16507975;8609181;2021-07-30 12:21:03.340639
1;16507790;8609149;2021-07-30 12:21:05.353267
1;16507860;8609099;2021-07-30 12:21:06.354362
1;16507855;8609142;2021-07-30 12:21:07.355051
1;16507840;8609097;2021-07-30 12:21:08.356674
1;16507952;8609062;2021-07-30 12:21:09.359104
1;16508001;8609042;2021-07-30 12:21:10.360640
1;16507977;8609072;2021-07-30 12:21:11.361933
1;16507911;8609129;2021-07-30 12:21:12.362798
1;16507810;8609048;2021-07-30 12:21:13.364378
1;16507890;8609152;2021-07-30 12:21:14.365501
1;16507761;8609100;2021-07-30 12:21:15.366640
1;16507940;8609041;2021-07-30 12:21:16.367852
1;16507844;8609111;2021-07-30 12:21:17.369419
1;16507804;8609128;2021-07-30 12:21:18.370680
1;16507827;8609143;2021-07-30 12:21:19.372334
1;16507719;8609116;2021-07-30 12:21:20.372973
1;16507996;8609137;2021-07-30 12:21:21.373697
1;16507835;8609139;2021-07-30 12:21:22.374911
1;16507950;8609204;2021-07-30 12:21:24.378908
1;16507962;8609086;2021-07-30 12:21:25.380367
1;16507795;8609108;2021-07-30 12:21:26.382235
1;16507745;8609064;2021-07-30 12:21:27.384951
1;16507841;8609153;2021-07-30 12:21:28.386820
1;16507828;8609199;2021-07-30 12:21:29.388433
1;16507937;8609090;2021-07-30 12:21:30.390867
1;16507751;8609057;2021-07-30 12:21:31.394249
1;16507877;8609074;2021-07-30 12:21:32.396681
1;16507795;8609092;2021-07-30 12:21:33.398682
1;16507825;8609120;2021-07-30 12:21:34.400510
1;16507714;8609143;2021-07-30 12:21:35.403307
1;16507752;8609111;2021-07-30 12:21:36.404353
1;16507616;8609145;2021-07-30 12:21:37.405267
1;16507818;8609059;2021-07-30 12:21:38.407513
1;16507675;8609054;2021-07-30 12:21:39.409382
1;16507743;8609030;2021-07-30 12:21:40.410589
1;16507607;8608977;2021-07-30 12:21:41.411353
1;16507690;8609056;2021-07-30 12:21:42.411931
1;16507722;8608988;2021-07-30 12:21:43.413464
1;16507786;8609006;2021-07-30 12:21:44.414814
1;16507753;8609064;2021-07-30 12:21:45.415963
1;16507773;8609086;2021-07-30 12:21:46.418546
1;16507750;8608960;2021-07-30 12:21:47.420467
1;16507690;8608991;2021-07-30 12:21:48.421972
1;16507734;8609050;2021-07-30 12:21:49.422863
1;16507644;8609232;2021-07-30 12:21:51.426461
1;16507802;8609097;2021-07-30 12:21:52.428217
1;16507776;8608987;2021-07-30 12:21:53.430022
1;16507896;8609047;2021-07-30 12:21:54.431681
1;16507697;8609003;2021-07-30 12:21:55.433434
1;16507903;8609019;2021-07-30 12:21:56.434439
1;16507812;8609038;2021-07-30 12:21:57.436015
1;16507841;8609108;2021-07-30 12:21:58.437541
1;16507812;8609130;2021-07-30 12:21:59.438866
1;16507863;8608997;2021-07-30 12:22:00.440374
1;16507883;8609001;2021-07-30 12:22:01.442017
1;16507821;8608993;2021-07-30 12:22:02.443617
1;16507882;8609058;2021-07-30 12:22:03.445069
1;16507925;8608973;2021-07-30 12:22:04.445959
1;16507700;8609090;2021-07-30 12:22:05.446766
1;16507899;8609017;2021-07-30 12:22:06.448012
1;16507865;8609022;2021-07-30 12:22:07.449175
1;16507916;8609045;2021-07-30 12:22:08.450440
1;16507975;8609014;2021-07-30 12:22:09.451883
1;16508039;8609058;2021-07-30 12:22:10.453079
1;16507891;8608985;2021-07-30 12:22:11.454441
1;16507872;8609000;2021-07-30 12:22:12.455041
1;16507824;8608945;2021-07-30 12:22:13.456294
1;16508015;8609039;2021-07-30 12:22:14.458163
1;16507980;8609090;2021-07-30 12:22:15.459385
