cmd;adc_a;adc_b;created_at
1;16507116;8609105;2021-07-30 12:12:56.254812
1;16507099;8609160;2021-07-30 12:12:57.256874
1;16507244;8609009;2021-07-30 12:12:58.257475
1;16507149;8609017;2021-07-30 12:12:59.258976
1;16507326;8609084;2021-07-30 12:13:00.260506
1;16507266;8609035;2021-07-30 12:13:01.261897
1;16507186;8609179;2021-07-30 12:13:04.265587
1;16507187;8609196;2021-07-30 12:13:05.267534
1;16507222;8609306;2021-07-30 12:13:06.269776
1;16506918;8609124;2021-07-30 12:13:07.271389
1;16507007;8609259;2021-07-30 12:13:08.273566
1;16506994;8609074;2021-07-30 12:13:09.275356
1;16507173;8609094;2021-07-30 12:13:10.276681
1;16507127;8609172;2021-07-30 12:13:11.278691
1;16507020;8609174;2021-07-30 12:13:12.280019
1;16507304;8609102;2021-07-30 12:13:13.281541
1;16507160;8609119;2021-07-30 12:13:14.282782
1;16507016;8609114;2021-07-30 12:13:15.283657
1;16506981;8608946;2021-07-30 12:13:16.284797
1;16507050;8609015;2021-07-30 12:13:17.285793
1;16507042;8608925;2021-07-30 12:13:18.287358
1;16506971;8609071;2021-07-30 12:13:19.289110
1;16507160;8608966;2021-07-30 12:13:20.290344
1;16507170;8608936;2021-07-30 12:13:21.291978
1;16507647;8608904;2021-07-30 12:13:22.293636
1;16507108;8609065;2021-07-30 12:13:23.295279
1;16507011;8609039;2021-07-30 12:13:24.297610
1;16507059;8608985;2021-07-30 12:13:25.301238
1;16507127;8609077;2021-07-30 12:13:26.303136
1;16507216;8609079;2021-07-30 12:13:27.305937
1;16507117;8608990;2021-07-30 12:13:28.308241
1;16507068;8609047;2021-07-30 12:13:29.311104
1;16507622;8609069;2021-07-30 12:13:31.314360
1;16507428;8608990;2021-07-30 12:13:32.316021
1;16507501;8609111;2021-07-30 12:13:33.319710
1;16507480;8609184;2021-07-30 12:13:34.322279
1;16507487;8609123;2021-07-30 12:13:35.323780
1;16507038;8609202;2021-07-30 12:13:36.326128
1;16507491;8609175;2021-07-30 12:13:37.327583
1;16507152;8609094;2021-07-30 12:13:38.330083
1;16507212;8609008;2021-07-30 12:13:39.335560
1;16507128;8609063;2021-07-30 12:13:40.339699
1;16506884;8609096;2021-07-30 12:13:41.343478
1;16507148;8608994;2021-07-30 12:13:42.345443
1;16507116;8609090;2021-07-30 12:13:43.350096
1;16507200;8609003;2021-07-30 12:13:44.354092
1;16507046;8609005;2021-07-30 12:13:45.358219
1;16507280;8608978;2021-07-30 12:13:46.361126
1;16507536;8609107;2021-07-30 12:13:47.362177
1;16507277;8608919;2021-07-30 12:13:48.365158
1;16507123;8609048;2021-07-30 12:13:49.367491
1;16507139;8609104;2021-07-30 12:13:50.369708
1;16507027;8609081;2021-07-30 12:13:51.372239
1;16507115;8609048;2021-07-30 12:13:52.373839
1;16507721;8609164;2021-07-30 12:13:53.375299
2;16507774;8609107;2021-07-30 12:13:54.376788
2;16507269;8608842;2021-07-30 12:13:55.381241
2;16507353;8609263;2021-07-30 12:13:56.382268
2;16508238;8609290;2021-07-30 12:13:57.383385
1;16507288;8609140;2021-07-30 12:13:58.384505
1;16507782;8609137;2021-07-30 12:13:59.385985
1;16507230;8609125;2021-07-30 12:14:00.387426
1;16507153;8609077;2021-07-30 12:14:01.390759
1;16507103;8609042;2021-07-30 12:14:02.392731
1;16507453;8609112;2021-07-30 12:14:03.393878
1;16507476;8609059;2021-07-30 12:14:04.395153
1;16507468;8609040;2021-07-30 12:14:06.398348
1;16507512;8608963;2021-07-30 12:14:07.399720
1;16507153;8609016;2021-07-30 12:14:08.403145
1;16507380;8608950;2021-07-30 12:14:09.407089
1;16507514;8609005;2021-07-30 12:14:10.409241
1;16507391;8609080;2021-07-30 12:14:11.411243
1;16507671;8608960;2021-07-30 12:14:12.413283
1;16507526;8609054;2021-07-30 12:14:13.415100
1;16507624;8609136;2021-07-30 12:14:14.416595
1;16507656;8609021;2021-07-30 12:14:15.417883
1;16507697;8609011;2021-07-30 12:14:16.418496
1;16507635;8609045;2021-07-30 12:14:17.421907
1;16507324;8609218;2021-07-30 12:14:18.423218
1;16507096;8609124;2021-07-30 12:14:19.424932
1;16507269;8609193;2021-07-30 12:14:20.426698
1;16507034;8609161;2021-07-30 12:14:21.428355
1;16507043;8609223;2021-07-30 12:14:22.430077
1;16507099;8609143;2021-07-30 12:14:23.431109
1;16507206;8609195;2021-07-30 12:14:24.432589
1;16507563;8609097;2021-07-30 12:14:25.434239
1;16507180;8609155;2021-07-30 12:14:26.435714
1;16507264;8609215;2021-07-30 12:14:27.437108
1;16507062;8609179;2021-07-30 12:14:28.438558
1;16507159;8609195;2021-07-30 12:14:29.439892
1;16507154;8609143;2021-07-30 12:14:30.440537
1;16507097;8609017;2021-07-30 12:14:31.441777
